YEAR,MO,DA,HR,LAT,LON,CO201500,CO01500
2015,9,22,3,-1.6020,104.0520,0.4097E-05,0.5592E-06
2015,9,22,3,-1.5520,104.0520,0.1476E-05,0.2326E-06
2015,9,22,3,-1.5020,104.0520,0.0000E+00,0.6966E-07
2015,9,22,3,-1.7020,104.1020,0.5063E-05,0.7458E-06
2015,9,22,3,-1.6520,104.1020,0.6073E-05,0.7928E-06
2015,9,22,3,-1.6020,104.1020,0.8505E-06,0.1120E-06
2015,9,22,3,-1.7520,104.1520,0.1484E-04,0.1954E-05
2015,9,22,3,-1.7020,104.1520,0.4978E-05,0.7213E-06
2015,9,22,3,-1.8020,104.2020,0.1442E-04,0.1852E-05
2015,9,22,3,-1.7520,104.2020,0.2752E-06,0.2582E-07
2015,9,22,3,-2.9020,104.5520,0.0000E+00,0.5603E-08
2015,9,22,3,-2.8520,104.5520,0.1803E-06,0.2801E-07
2015,9,22,3,-2.8020,104.5520,0.4506E-07,0.0000E+00
2015,9,22,3,-3.0020,104.6020,0.9014E-07,0.0000E+00
2015,9,22,3,-2.9520,104.6020,0.9013E-07,0.1743E-07
2015,9,22,3,-2.9020,104.6020,0.3155E-06,0.5105E-07
2015,9,22,3,-2.8520,104.6020,0.2704E-06,0.1681E-07
2015,9,22,3,-2.8020,104.6020,0.0000E+00,0.1121E-07
2015,9,22,3,-3.1020,104.6520,0.5008E-07,0.0000E+00
2015,9,22,3,-3.0520,104.6520,0.1953E-06,0.1245E-07
2015,9,22,3,-3.0020,104.6520,0.3255E-06,0.4670E-07
2015,9,22,3,-2.9520,104.6520,0.5007E-06,0.1133E-06
2015,9,22,3,-2.9020,104.6520,0.3605E-06,0.6163E-07
2015,9,22,3,-2.8520,104.6520,0.0000E+00,0.2241E-07
2015,9,22,3,-2.8020,104.6520,0.0000E+00,0.5603E-08
2015,9,22,3,-3.1520,104.7020,0.5008E-07,0.0000E+00
2015,9,22,3,-3.1020,104.7020,0.6511E-06,0.6102E-07
2015,9,22,3,-3.0520,104.7020,0.1262E-05,0.1538E-06
2015,9,22,3,-3.0020,104.7020,0.7411E-06,0.1986E-06
2015,9,22,3,-2.9520,104.7020,0.1803E-06,0.6724E-07
2015,9,22,3,-2.9020,104.7020,0.0000E+00,0.2241E-07
2015,9,22,3,-2.8520,104.7020,0.0000E+00,0.5603E-08
2015,9,22,3,-3.2020,104.7520,0.0000E+00,0.1245E-07
2015,9,22,3,-3.1520,104.7520,0.1397E-05,0.1414E-06
2015,9,22,3,-3.1020,104.7520,0.2108E-05,0.3929E-06
2015,9,22,3,-3.0520,104.7520,0.8964E-06,0.2758E-06
2015,9,22,3,-3.0020,104.7520,0.1352E-06,0.5043E-07
2015,9,22,3,-2.9520,104.7520,0.0000E+00,0.5603E-08
2015,9,22,3,-3.2520,104.8020,0.5009E-07,0.6228E-08
2015,9,22,3,-3.2020,104.8020,0.1748E-05,0.2298E-06
2015,9,22,3,-3.1520,104.8020,0.5950E-05,0.7149E-06
2015,9,22,3,-3.1020,104.8020,0.1700E-05,0.3543E-06
2015,9,22,3,-3.0520,104.8020,0.4507E-07,0.3985E-07
2015,9,22,3,-3.0020,104.8020,0.0000E+00,0.5604E-08
2015,9,22,3,-3.2520,104.8520,0.2900E-05,0.3294E-06
2015,9,22,3,-3.2020,104.8520,0.8805E-05,0.1276E-05
2015,9,22,3,-3.1520,104.8520,0.1437E-05,0.3042E-06
2015,9,22,3,-3.1020,104.8520,0.0000E+00,0.1744E-07
2015,9,22,3,-3.3020,104.9020,0.6131E-05,0.6882E-06
2015,9,22,3,-3.2520,104.9020,0.1293E-04,0.1776E-05
2015,9,22,3,-3.2020,104.9020,0.7563E-06,0.1351E-06
2015,9,22,3,-3.3020,104.9520,0.1793E-04,0.2430E-05
2015,9,22,3,-3.2520,104.9520,0.4508E-07,0.2242E-07
2015,9,22,3,-2.0520,104.9520,0.0000E+00,0.5599E-08
2015,9,22,3,-2.1020,105.0020,0.0000E+00,0.5600E-08
2015,9,22,3,-2.0520,105.0020,0.0000E+00,0.1120E-07
2015,9,22,3,-2.0020,105.0020,0.9007E-07,0.0000E+00
2015,9,22,3,-2.2020,105.0520,0.9008E-07,0.1120E-07
2015,9,22,3,-2.1520,105.0520,0.1351E-06,0.1680E-07
2015,9,22,3,-2.1020,105.0520,0.1351E-06,0.2800E-07
2015,9,22,3,-2.0520,105.0520,0.1351E-06,0.1680E-07
2015,9,22,3,-2.2520,105.1020,0.3804E-06,0.1120E-07
2015,9,22,3,-2.2020,105.1020,0.6856E-06,0.8524E-07
2015,9,22,3,-2.1520,105.1020,0.3153E-06,0.8960E-07
2015,9,22,3,-2.1020,105.1020,0.4504E-06,0.3360E-07
2015,9,22,3,-2.0520,105.1020,0.1801E-06,0.1120E-07
2015,9,22,3,-2.3520,105.1520,0.2502E-06,0.1245E-07
2015,9,22,3,-2.3020,105.1520,0.1096E-05,0.4169E-07
2015,9,22,3,-2.2520,105.1520,0.1912E-05,0.2072E-06
2015,9,22,3,-2.2020,105.1520,0.9108E-06,0.1524E-06
2015,9,22,3,-2.1520,105.1520,0.6305E-06,0.6160E-07
2015,9,22,3,-2.1020,105.1520,0.4504E-07,0.2240E-07
2015,9,22,3,-2.4020,105.2020,0.3504E-06,0.2489E-07
2015,9,22,3,-2.3520,105.2020,0.2372E-05,0.3143E-06
2015,9,22,3,-2.3020,105.2020,0.3343E-05,0.4362E-06
2015,9,22,3,-2.2520,105.2020,0.1316E-05,0.1935E-06
2015,9,22,3,-2.2020,105.2020,0.4954E-06,0.6720E-07
2015,9,22,3,-2.1520,105.2020,0.1351E-06,0.1120E-07
2015,9,22,3,-2.4520,105.2520,0.1051E-05,0.1058E-06
2015,9,22,3,-2.4020,105.2520,0.5576E-05,0.6584E-06
2015,9,22,3,-2.3520,105.2520,0.5521E-05,0.5563E-06
2015,9,22,3,-2.3020,105.2520,0.1046E-05,0.1568E-06
2015,9,22,3,-2.2520,105.2520,0.3203E-06,0.3920E-07
2015,9,22,3,-2.2020,105.2520,0.4504E-07,0.0000E+00
2015,9,22,3,-2.5020,105.3020,0.2753E-05,0.2489E-06
2015,9,22,3,-2.4520,105.3020,0.1059E-04,0.1402E-05
2015,9,22,3,-2.4020,105.3020,0.6770E-05,0.6945E-06
2015,9,22,3,-2.3520,105.3020,0.1476E-05,0.1083E-06
2015,9,22,3,-2.3020,105.3020,0.4154E-06,0.1742E-07
2015,9,22,3,-2.5520,105.3520,0.6650E-05,0.7792E-06
2015,9,22,3,-2.5020,105.3520,0.1700E-04,0.2116E-05
2015,9,22,3,-2.4520,105.3520,0.6610E-05,0.7642E-06
2015,9,22,3,-2.4020,105.3520,0.8309E-06,0.8899E-07
2015,9,22,3,-2.3520,105.3520,0.9009E-07,0.0000E+00
2015,9,22,3,-2.6020,105.4020,0.1887E-04,0.2384E-05
2015,9,22,3,-2.5520,105.4020,0.2208E-04,0.2873E-05
2015,9,22,3,-2.5020,105.4020,0.5083E-05,0.6140E-06
2015,9,22,3,-2.4520,105.4020,0.5055E-06,0.2489E-07
2015,9,22,3,-2.6520,105.4520,0.6015E-05,0.8297E-06
2015,9,22,3,-2.6020,105.4520,0.1788E-04,0.2120E-05
2015,9,22,3,-2.5520,105.4520,0.3672E-05,0.4176E-06
2015,9,22,3,-2.5020,105.4520,0.4505E-07,0.5601E-08
2015,9,22,3,-2.7020,105.5020,0.1830E-04,0.2177E-05
2015,9,22,3,-2.6520,105.5020,0.2295E-04,0.2546E-05
2015,9,22,3,-2.6020,105.5020,0.1234E-05,0.1351E-06
2015,9,22,3,-2.7520,105.5520,0.1825E-05,0.2381E-06
2015,9,22,3,-2.7020,105.5520,0.2941E-04,0.3419E-05
2015,9,22,6,-1.2020,103.2020,0.0000E+00,0.1679E-07
2015,9,22,6,-1.5020,103.2520,0.0000E+00,0.6220E-08
2015,9,22,6,-1.2520,103.2520,0.0000E+00,0.1119E-07
2015,9,22,6,-1.2020,103.2520,0.0000E+00,0.1119E-07
2015,9,22,6,-1.5020,103.3020,0.0000E+00,0.1244E-07
2015,9,22,6,-1.3020,103.3020,0.0000E+00,0.1182E-07
2015,9,22,6,-1.2520,103.3020,0.1351E-06,0.2923E-07
2015,9,22,6,-1.0520,103.3020,0.0000E+00,0.5597E-08
2015,9,22,6,-1.5520,103.3520,0.0000E+00,0.1866E-07
2015,9,22,6,-1.3520,103.3520,0.1901E-06,0.5722E-07
2015,9,22,6,-1.3020,103.3520,0.4502E-07,0.2239E-07
2015,9,22,6,-1.2520,103.3520,0.1501E-06,0.6219E-08
2015,9,22,6,-1.1020,103.3520,0.0000E+00,0.1119E-07
2015,9,22,6,-1.0520,103.3520,0.0000E+00,0.5597E-08
2015,9,22,6,-1.5520,103.4020,0.0000E+00,0.1866E-07
2015,9,22,6,-1.5020,103.4020,0.1501E-06,0.6220E-08
2015,9,22,6,-1.4520,103.4020,0.0000E+00,0.6220E-08
2015,9,22,6,-1.4020,103.4020,0.1951E-06,0.1337E-06
2015,9,22,6,-1.3520,103.4020,0.3702E-06,0.4105E-07
2015,9,22,6,-1.3020,103.4020,0.2401E-06,0.5597E-08
2015,9,22,6,-1.2520,103.4020,0.9504E-07,0.0000E+00
2015,9,22,6,-1.2020,103.4020,0.2801E-06,0.6219E-08
2015,9,22,6,-1.1520,103.4020,0.0000E+00,0.1741E-07
2015,9,22,6,-1.0020,103.4020,0.4501E-07,0.0000E+00
2015,9,22,6,-0.9520,103.4020,0.4501E-07,0.0000E+00
2015,9,22,6,-0.9020,103.4020,0.4501E-07,0.0000E+00
2015,9,22,6,-1.6020,103.4520,0.0000E+00,0.6220E-08
2015,9,22,6,-1.5520,103.4520,0.2001E-06,0.1244E-07
2015,9,22,6,-1.5020,103.4520,0.3502E-06,0.4292E-07
2015,9,22,6,-1.4520,103.4520,0.2901E-06,0.1586E-06
2015,9,22,6,-1.4020,103.4520,0.4152E-06,0.1020E-06
2015,9,22,6,-1.3520,103.4520,0.3251E-06,0.7214E-07
2015,9,22,6,-1.3020,103.4520,0.7103E-06,0.4043E-07
2015,9,22,6,-1.2520,103.4520,0.6853E-06,0.3607E-07
2015,9,22,6,-1.2020,103.4520,0.4202E-06,0.7587E-07
2015,9,22,6,-1.1520,103.4520,0.1801E-06,0.0000E+00
2015,9,22,6,-1.0020,103.4520,0.9003E-07,0.0000E+00
2015,9,22,6,-0.9520,103.4520,0.9003E-07,0.1119E-07
2015,9,22,6,-0.9020,103.4520,0.0000E+00,0.5597E-08
2015,9,22,6,-1.6520,103.5020,0.0000E+00,0.6220E-08
2015,9,22,6,-1.6020,103.5020,0.2501E-06,0.1866E-07
2015,9,22,6,-1.5520,103.5020,0.8504E-06,0.5847E-07
2015,9,22,6,-1.5020,103.5020,0.4002E-06,0.1636E-06
2015,9,22,6,-1.4520,103.5020,0.6803E-06,0.1636E-06
2015,9,22,6,-1.4020,103.5020,0.1146E-05,0.1051E-06
2015,9,22,6,-1.3520,103.5020,0.1010E-05,0.5971E-07
2015,9,22,6,-1.3020,103.5020,0.1361E-05,0.5970E-07
2015,9,22,6,-1.2520,103.5020,0.5252E-06,0.7028E-07
2015,9,22,6,-1.2020,103.5020,0.5002E-06,0.4229E-07
2015,9,22,6,-1.1520,103.5020,0.4502E-07,0.0000E+00
2015,9,22,6,-1.0520,103.5020,0.1801E-06,0.0000E+00
2015,9,22,6,-1.0020,103.5020,0.1801E-06,0.2798E-07
2015,9,22,6,-0.9520,103.5020,0.1350E-06,0.5597E-08
2015,9,22,6,-1.6520,103.5520,0.2501E-06,0.3110E-07
2015,9,22,6,-1.6020,103.5520,0.1351E-05,0.5598E-07
2015,9,22,6,-1.5520,103.5520,0.4669E-06,0.1785E-06
2015,9,22,6,-1.5020,103.5520,0.9305E-06,0.1648E-06
2015,9,22,6,-1.4520,103.5520,0.1806E-05,0.2115E-06
2015,9,22,6,-1.4020,103.5520,0.1586E-05,0.1343E-06
2015,9,22,6,-1.3520,103.5520,0.1356E-05,0.9578E-07
2015,9,22,6,-1.3020,103.5520,0.2001E-05,0.1182E-06
2015,9,22,6,-1.2520,103.5520,0.4602E-06,0.9204E-07
2015,9,22,6,-1.2020,103.5520,0.9504E-07,0.7027E-07
2015,9,22,6,-1.1520,103.5520,0.2351E-06,0.2488E-07
2015,9,22,6,-1.1020,103.5520,0.1801E-06,0.3358E-07
2015,9,22,6,-1.0520,103.5520,0.4501E-07,0.3358E-07
2015,9,22,6,-1.0020,103.5520,0.4501E-07,0.0000E+00
2015,9,22,6,-1.8020,103.6020,0.0000E+00,0.1244E-07
2015,9,22,6,-1.7520,103.6020,0.1501E-06,0.6221E-08
2015,9,22,6,-1.7020,103.6020,0.5337E-06,0.6117E-07
2015,9,22,6,-1.6520,103.6020,0.1598E-05,0.1292E-06
2015,9,22,6,-1.6020,103.6020,0.1591E-05,0.3659E-06
2015,9,22,6,-1.5520,103.6020,0.1186E-05,0.2565E-06
2015,9,22,6,-1.5020,103.6020,0.1756E-05,0.2243E-06
2015,9,22,6,-1.4520,103.6020,0.1858E-05,0.1435E-06
2015,9,22,6,-1.4020,103.6020,0.2291E-05,0.2001E-06
2015,9,22,6,-1.3520,103.6020,0.2316E-05,0.2040E-06
2015,9,22,6,-1.3020,103.6020,0.6703E-06,0.1903E-06
2015,9,22,6,-1.2520,103.6020,0.2851E-06,0.1499E-06
2015,9,22,6,-1.2020,103.6020,0.1451E-06,0.4167E-07
2015,9,22,6,-1.1520,103.6020,0.2901E-06,0.6965E-07
2015,9,22,6,-1.1020,103.6020,0.4502E-06,0.3545E-07
2015,9,22,6,-1.0520,103.6020,0.1851E-06,0.1119E-07
2015,9,22,6,-1.0020,103.6020,0.4501E-07,0.0000E+00
2015,9,22,6,-1.8020,103.6520,0.5003E-07,0.3110E-07
2015,9,22,6,-1.7520,103.6520,0.8672E-06,0.2281E-07
2015,9,22,6,-1.7020,103.6520,0.1701E-05,0.2395E-06
2015,9,22,6,-1.6520,103.6520,0.2451E-05,0.4095E-06
2015,9,22,6,-1.6020,103.6520,0.1918E-05,0.3939E-06
2015,9,22,6,-1.5520,103.6520,0.2603E-05,0.2262E-06
2015,9,22,6,-1.5020,103.6520,0.3435E-05,0.4167E-06
2015,9,22,6,-1.4520,103.6520,0.3522E-05,0.2384E-06
